t 1 2 3 4 5 jL0300 
0 0.1 0.1 0.1 0.1 1e-11 1e-11
0.1 0.100088 0.123127 0.100088 0.123127 0.0100037 0.0100037
0.2 0.100433 0.147726 0.100433 0.147726 0.0200276 0.0200276
0.3 0.10108 0.173829 0.10108 0.173829 0.0301007 0.0301007
0.4 0.10209 0.20158 0.10209 0.20158 0.0402562 0.0402562
0.5 0.103522 0.231142 0.103522 0.231142 0.0505333 0.0505333
0.6 0.105438 0.262698 0.105438 0.262698 0.0609773 0.0609773
0.7 0.107902 0.296455 0.107902 0.296455 0.0716397 0.0716397
0.8 0.110981 0.332639 0.110981 0.332639 0.0825787 0.0825787
0.9 0.114743 0.371503 0.114743 0.371503 0.0938592 0.0938592
1 0.119261 0.413329 0.119261 0.413329 0.105553 0.105553
1.1 0.124613 0.458426 0.124613 0.458426 0.11774 0.11774
1.2 0.13088 0.507134 0.13088 0.507134 0.130507 0.130507
1.3 0.138148 0.559828 0.138148 0.559828 0.14395 0.14395
1.4 0.14651 0.616921 0.14651 0.616921 0.158174 0.158174
1.5 0.156065 0.678867 0.156065 0.678867 0.173293 0.173293
1.6 0.166921 0.746162 0.166921 0.746162 0.189431 0.189431
1.7 0.179192 0.819351 0.179192 0.819351 0.206725 0.206725
1.8 0.193005 0.899033 0.193005 0.899033 0.225322 0.225322
1.9 0.208495 0.985862 0.208495 0.985862 0.245383 0.245383
2 0.225741 1.07736 0.225741 1.07736 0.26708 0.26708
2.1 0.244603 1.16839 0.244603 1.16839 0.290584 0.290584
2.2 0.264768 1.25893 0.264768 1.25893 0.316041 0.316041
2.3 0.285955 1.34931 0.285955 1.34931 0.343569 0.343569
2.4 0.307902 1.43966 0.307902 1.43966 0.373256 0.373256
2.5 0.330356 1.5301 0.330356 1.5301 0.405164 0.405164
2.6 0.353081 1.6207 0.353081 1.6207 0.439334 0.439334
2.7 0.37585 1.71146 0.37585 1.71146 0.47578 0.47578
2.8 0.398447 1.80238 0.398447 1.80238 0.514497 0.514497
2.9 0.420668 1.8934 0.420668 1.8934 0.555455 0.555455
