t 1 2 3 4 5 6 7 8 jL0100 jV0400 jV0600 jV0700 jV0800 
0 3.62183e-18 3.62183 1.00196 1.5 3.64708 2.5 2.5 5 3.62183e-09 -1.99804e-09 -3.50953e-10 -3.76208e-10 -2.52529e-05
1e-08 0.000138944 3.62197 1.00473 1.5 3.64402 2.50628 2.5 5 4.05833e-09 2.21944e-09 -2.78463e-09 2.26939e-09 -2.56991e-05
2e-08 0.000558042 3.6224 1.00759 1.5 3.64085 2.51253 2.5 5 6.24798e-09 -1.99034e-09 -2.74966e-10 -2.88052e-10 -2.61544e-05
3e-08 0.00125245 3.6231 1.01038 1.5 3.63786 2.51874 2.5 5 1.19358e-08 2.2132e-09 -2.78548e-09 2.23882e-09 -2.65958e-05
4e-08 0.00221441 3.62408 1.01324 1.5 3.63482 2.52487 2.5 5 2.28273e-08 -1.98475e-09 -1.75503e-10 -2.18779e-10 -2.70408e-05
5e-08 0.00343465 3.62532 1.01599 1.5 3.63195 2.5309 2.5 5 4.05743e-08 2.20527e-09 -2.76392e-09 2.19242e-09 -2.74698e-05
6e-08 0.00490123 3.62681 1.01879 1.5 3.62908 2.53681 2.5 5 6.67622e-08 -1.98133e-09 -5.4647e-11 -1.69651e-10 -2.78973e-05
7e-08 0.00660074 3.62854 1.02147 1.5 3.62639 2.54258 2.5 5 1.02897e-07 2.19558e-09 -2.72146e-09 2.129e-09 -2.83066e-05
8e-08 0.00851743 3.63049 1.02416 1.5 3.62372 2.54818 2.5 5 1.50392e-07 -1.98011e-09 8.53752e-11 -1.41526e-10 -2.87099e-05
9e-08 0.0106342 3.63264 1.02671 1.5 3.62123 2.55358 2.5 5 2.10558e-07 2.1841e-09 -2.6599e-09 2.04776e-09 -2.90927e-05
1e-07 0.0129318 3.63498 1.02925 1.5 3.6188 2.55878 2.5 5 2.84593e-07 -1.98105e-09 2.42247e-10 -1.34807e-10 -2.94655e-05
1.1e-07 0.0153901 3.63748 1.03162 1.5 3.61655 2.56374 2.5 5 3.73569e-07 2.17087e-09 -2.58121e-09 1.94844e-09 -2.98157e-05
1.2e-07 0.017987 3.64012 1.03396 1.5 3.61437 2.56845 2.5 5 4.78426e-07 -1.98411e-09 4.13613e-10 -1.49386e-10 -3.01524e-05
1.3e-07 0.0206995 3.64289 1.03611 1.5 3.61239 2.5729 2.5 5 5.99963e-07 2.15597e-09 -2.48748e-09 1.83128e-09 -3.04645e-05
1.4e-07 0.0235035 3.64574 1.03819 1.5 3.6105 2.57705 2.5 5 7.38831e-07 -1.98914e-09 5.97131e-10 -1.84628e-10 -3.07602e-05
1.5e-07 0.026374 3.64867 1.04007 1.5 3.60881 2.5809 2.5 5 8.95526e-07 2.13953e-09 -2.38082e-09 1.6971e-09 -3.10294e-05
1.6e-07 0.0292851 3.65164 1.04187 1.5 3.60722 2.58443 2.5 5 1.07038e-06 -1.99599e-09 7.90511e-10 -2.39354e-10 -3.12799e-05
1.7e-07 0.0322106 3.65463 1.04344 1.5 3.60583 2.58763 2.5 5 1.26358e-06 2.12174e-09 -2.26334e-09 1.54724e-09 -3.15024e-05
1.8e-07 0.0351236 3.6576 1.04491 1.5 3.60456 2.59048 2.5 5 1.47511e-06 -2.00442e-09 9.91547e-10 -3.11863e-10 -3.17042e-05
1.9e-07 0.0379972 3.66054 1.04614 1.5 3.60349 2.59298 2.5 5 1.70483e-06 2.10284e-09 -2.13709e-09 1.38357e-09 -3.18769e-05
2e-07 0.0408044 3.66342 1.04724 1.5 3.60254 2.59511 2.5 5 1.95239e-06 -2.01417e-09 1.19813e-09 -3.99968e-10 -3.20273e-05
2.1e-07 0.0435182 3.6662 1.04811 1.5 3.6018 2.59686 2.5 5 2.2173e-06 2.0831e-09 -2.00406e-09 1.20842e-09 -3.21478e-05
2.2e-07 0.0461118 3.66886 1.04883 1.5 3.60119 2.59823 2.5 5 2.49888e-06 -2.02495e-09 1.40824e-09 -5.01057e-10 -3.2245e-05
2.3e-07 0.0485591 3.67138 1.04931 1.5 3.60078 2.59921 2.5 5 2.7963e-06 2.06284e-09 -1.86616e-09 1.02451e-09 -3.23116e-05
2.4e-07 0.0508343 3.67373 1.04964 1.5 3.60051 2.5998 2.5 5 3.10855e-06 -2.0364e-09 1.61996e-09 -6.12171e-10 -3.23544e-05
2.5e-07 0.0529125 3.67588 1.04971 1.5 3.60043 2.6 2.5 5 3.43448e-06 2.04238e-09 -1.72527e-09 8.34871e-10 -3.23662e-05
2.6e-07 0.0547696 3.6778 1.04964 1.5 3.6005 2.5998 2.5 5 3.77278e-06 -2.0482e-09 1.83142e-09 -7.30101e-10 -3.23541e-05
2.7e-07 0.0563825 3.67949 1.04931 1.5 3.60076 2.59921 2.5 5 4.12197e-06 2.02207e-09 -1.58322e-09 6.42723e-10 -3.2311e-05
2.8e-07 0.0577293 3.6809 1.04884 1.5 3.60117 2.59823 2.5 5 4.48046e-06 -2.05997e-09 2.04078e-09 -8.51496e-10 -3.22442e-05
2.9e-07 0.0587894 3.68203 1.04812 1.5 3.60177 2.59686 2.5 5 4.84652e-06 2.00227e-09 -1.44187e-09 4.51384e-10 -3.21468e-05
3e-07 0.0595436 3.68286 1.04725 1.5 3.60252 2.59511 2.5 5 5.21827e-06 -2.07137e-09 2.24618e-09 -9.72964e-10 -3.20262e-05
3.1e-07 0.0599744 3.68335 1.04615 1.5 3.60345 2.59298 2.5 5 5.59375e-06 1.9833e-09 -1.30311e-09 2.6415e-10 -3.18757e-05
3.2e-07 0.0600657 3.68351 1.04492 1.5 3.60452 2.59048 2.5 5 5.97086e-06 -2.08207e-09 2.44572e-09 -1.09119e-09 -3.17029e-05
3.3e-07 0.0598034 3.68331 1.04346 1.5 3.60578 2.58763 2.5 5 6.34744e-06 1.96547e-09 -1.1689e-09 8.41929e-11 -3.15013e-05
3.4e-07 0.0591751 3.68274 1.04188 1.5 3.60717 2.58443 2.5 5 6.72122e-06 -2.09176e-09 2.63745e-09 -1.20301e-09 -3.12788e-05
3.5e-07 0.0581705 3.6818 1.0401 1.5 3.60874 2.5809 2.5 5 7.08988e-06 1.94907e-09 -1.0413e-09 -8.55334e-11 -3.10287e-05
3.6e-07 0.0567813 3.68047 1.03821 1.5 3.61044 2.57705 2.5 5 7.45101e-06 -2.10018e-09 2.81932e-09 -1.30556e-09 -3.07595e-05
3.7e-07 0.0550013 3.67874 1.03614 1.5 3.61231 2.5729 2.5 5 7.80218e-06 1.93432e-09 -9.2244e-10 -2.4237e-10 -3.04645e-05
3.8e-07 0.0528267 3.67661 1.03398 1.5 3.6143 2.56845 2.5 5 8.14093e-06 -2.10711e-09 2.98922e-09 -1.39624e-09 -3.01526e-05
3.9e-07 0.0502558 3.67409 1.03165 1.5 3.61645 2.56374 2.5 5 8.46478e-06 1.92142e-09 -8.1453e-10 -3.84013e-10 -2.9817e-05
4e-07 0.0472892 3.67117 1.02927 1.5 3.61871 2.55878 2.5 5 8.77122e-06 -2.11237e-09 3.14498e-09 -1.47288e-09 -2.9467e-05
4.1e-07 0.0439299 3.66785 1.02674 1.5 3.62111 2.55358 2.5 5 9.0578e-06 1.91049e-09 -7.19828e-10 -5.08558e-10 -2.90957e-05
4.2e-07 0.0401835 3.66414 1.02418 1.5 3.62362 2.54818 2.5 5 9.32205e-06 -2.11584e-09 3.2844e-09 -1.53369e-09 -2.8713e-05
4.3e-07 0.0360577 3.66005 1.0215 1.5 3.62625 2.54258 2.5 5 9.56156e-06 1.90163e-09 -6.4059e-10 -6.14523e-10 -2.83119e-05
4.4e-07 0.0315628 3.65558 1.0188 1.5 3.62897 2.53681 2.5 5 9.774e-06 -2.11746e-09 3.40534e-09 -1.57733e-09 -2.79025e-05
4.5e-07 0.0267113 3.65075 1.01602 1.5 3.6318 2.5309 2.5 5 9.95707e-06 1.89487e-09 -5.79012e-10 -7.00854e-10 -2.74778e-05
4.6e-07 0.0215185 3.64558 1.01324 1.5 3.63469 2.52487 2.5 5 1.01086e-05 -2.11721e-09 3.50573e-09 -1.60286e-09 -2.70484e-05
4.7e-07 0.0160015 3.64008 1.0104 1.5 3.63768 2.51874 2.5 5 1.02265e-05 1.89019e-09 -5.37161e-10 -7.66918e-10 -2.66071e-05
4.8e-07 0.0101801 3.63427 1.00759 1.5 3.64071 2.51253 2.5 5 1.03087e-05 -2.11512e-09 3.58369e-09 -1.60978e-09 -2.61647e-05
