f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f 
1 28345.9 179.969 0 0 0.666739 -0.0102708 0 0 0.253879 -179.97 1 0 290.614 -0.0309237 0 0 7.12409e-09 -90.0309 9.57277e-15 -89.9842 2.83459 179.969 3.54323 -0.0309241
1.02353 28345.9 179.968 0 0 0.666739 -0.0105125 0 0 0.253879 -179.969 1 0 290.614 -0.0316514 0 0 7.29173e-09 -90.0317 9.79802e-15 -89.9838 2.83459 179.968 3.54323 -0.0316518
1.04762 28345.9 179.968 0 0 0.666739 -0.0107599 0 0 0.253879 -179.968 1 0 290.614 -0.0323961 0 0 7.46331e-09 -90.0324 1.00286e-14 -89.9834 2.83459 179.968 3.54323 -0.0323966
1.07227 28345.9 179.967 0 0 0.666739 -0.0110131 0 0 0.253879 -179.968 1 0 290.614 -0.0331585 0 0 7.63893e-09 -90.0332 1.02646e-14 -89.9831 2.83459 179.967 3.54323 -0.0331589
1.0975 28345.9 179.966 0 0 0.666739 -0.0112722 0 0 0.253879 -179.967 1 0 290.614 -0.0339387 0 0 7.81868e-09 -90.0339 1.05061e-14 -89.9827 2.83459 179.966 3.54323 -0.0339392
1.12332 28345.9 179.965 0 0 0.666739 -0.0115375 0 0 0.253879 -179.966 1 0 290.614 -0.0347373 0 0 8.00266e-09 -90.0347 1.07533e-14 -89.9822 2.83459 179.965 3.54323 -0.0347378
1.14976 28345.9 179.964 0 0 0.666739 -0.011809 0 0 0.253879 -179.965 1 0 290.614 -0.0355547 0 0 8.19097e-09 -90.0356 1.10064e-14 -89.9818 2.83459 179.964 3.54323 -0.0355553
1.17681 28345.9 179.964 0 0 0.666739 -0.0120868 0 0 0.253879 -179.964 1 0 290.614 -0.0363914 0 0 8.38371e-09 -90.0364 1.12653e-14 -89.9814 2.83459 179.964 3.54323 -0.0363919
1.2045 28345.9 179.963 0 0 0.666739 -0.0123713 0 0 0.253879 -179.964 1 0 290.614 -0.0372477 0 0 8.58099e-09 -90.0372 1.15304e-14 -89.981 2.83459 179.963 3.54323 -0.0372482
1.23285 28345.9 179.962 0 0 0.666739 -0.0126624 0 0 0.253879 -179.963 1 0 290.614 -0.0381242 0 0 8.78291e-09 -90.0381 1.18018e-14 -89.9805 2.83459 179.962 3.54323 -0.0381247
1.26186 28345.9 179.961 0 0 0.666739 -0.0129603 0 0 0.253879 -179.962 1 0 290.614 -0.0390213 0 0 8.98958e-09 -90.039 1.20795e-14 -89.9801 2.83459 179.961 3.54323 -0.0390218
1.29155 28345.9 179.96 0 0 0.666739 -0.0132653 0 0 0.253879 -179.961 1 0 290.614 -0.0399395 0 0 9.20111e-09 -90.0399 1.23637e-14 -89.9796 2.83459 179.96 3.54323 -0.0399401
1.32194 28345.9 179.959 0 0 0.666739 -0.0135774 0 0 0.253879 -179.96 1 0 290.614 -0.0408793 0 0 9.41763e-09 -90.0409 1.26546e-14 -89.9791 2.83459 179.959 3.54323 -0.0408799
1.35305 28345.9 179.958 0 0 0.666739 -0.0138969 0 0 0.253879 -179.959 1 0 290.614 -0.0418412 0 0 9.63923e-09 -90.0418 1.29524e-14 -89.9786 2.83459 179.958 3.54323 -0.0418418
1.38489 28345.9 179.957 0 0 0.666739 -0.0142239 0 0 0.253879 -179.958 1 0 290.614 -0.0428258 0 0 9.86605e-09 -90.0428 1.32572e-14 -89.9781 2.83459 179.957 3.54323 -0.0428264
1.41747 28345.9 179.956 0 0 0.666739 -0.0145586 0 0 0.253879 -179.957 1 0 290.614 -0.0438335 0 0 1.00982e-08 -90.0438 1.35692e-14 -89.9776 2.83459 179.956 3.54323 -0.0438342
1.45083 28345.9 179.955 0 0 0.666739 -0.0149012 0 0 0.253879 -179.956 1 0 290.614 -0.044865 0 0 1.03358e-08 -90.0449 1.38884e-14 -89.9771 2.83459 179.955 3.54323 -0.0448656
1.48497 28345.9 179.954 0 0 0.666739 -0.0152519 0 0 0.253879 -179.955 1 0 290.614 -0.0459207 0 0 1.0579e-08 -90.0459 1.42153e-14 -89.9765 2.83459 179.954 3.54323 -0.0459214
1.51991 28345.9 179.953 0 0 0.666739 -0.0156108 0 0 0.253879 -179.954 1 0 290.614 -0.0470012 0 0 1.0828e-08 -90.047 1.45498e-14 -89.976 2.83459 179.953 3.54323 -0.0470019
1.55568 28345.9 179.952 0 0 0.666739 -0.0159781 0 0 0.253879 -179.953 1 0 290.614 -0.0481072 0 0 1.10828e-08 -90.0481 1.48921e-14 -89.9754 2.83459 179.952 3.54323 -0.0481079
1.59228 28345.9 179.951 0 0 0.666739 -0.0163541 0 0 0.253879 -179.952 1 0 290.614 -0.0492392 0 0 1.13436e-08 -90.0492 1.52426e-14 -89.9748 2.83459 179.951 3.54323 -0.04924
1.62975 28345.9 179.95 0 0 0.666739 -0.0167389 0 0 0.253879 -179.951 1 0 290.614 -0.0503979 0 0 1.16105e-08 -90.0504 1.56012e-14 -89.9742 2.83459 179.95 3.54323 -0.0503986
1.6681 28345.9 179.948 0 0 0.666739 -0.0171328 0 0 0.253879 -179.949 1 0 290.614 -0.0515838 0 0 1.18837e-08 -90.0516 1.59683e-14 -89.9736 2.83459 179.948 3.54323 -0.0515846
1.70735 28345.9 179.947 0 0 0.666739 -0.0175359 0 0 0.253879 -179.948 1 0 290.614 -0.0527976 0 0 1.21633e-08 -90.0528 1.63441e-14 -89.973 2.83459 179.947 3.54323 -0.0527984
