f 1m 1f 2m 2f 3m 3f 4m 4f jL2m jL2f jL4m jL4f jVINm jVINf 
0.5 0.457009 -88.4519 0.297287 -1.05621 1 0 0.336182 -47.7912 0.866007 163.664 0.675935 134.228 0.702784 -179.553
0.507123 0.458518 -89.8471 0.300599 -0.101445 1 0 0.334961 -48.0009 0.874448 162.889 0.684339 133.237 0.699402 -179.956
0.514348 0.460135 -91.2857 0.304439 0.826185 1 0 0.333844 -48.2025 0.883016 162.08 0.693126 132.202 0.695607 179.638
0.521675 0.461859 -92.7703 0.308826 1.71777 1 0 0.332844 -48.3963 0.891693 161.238 0.702307 131.123 0.691375 179.233
0.529107 0.463689 -94.3038 0.31378 2.56418 1 0 0.331973 -48.5826 0.90046 160.36 0.711894 129.994 0.686678 178.829
0.536645 0.465624 -95.889 0.319315 3.35614 1 0 0.331243 -48.762 0.909294 159.444 0.721896 128.814 0.681489 178.428
0.544291 0.467658 -97.5291 0.325445 4.0844 1 0 0.33067 -48.9351 0.918166 158.489 0.732321 127.579 0.67578 178.034
0.552045 0.469786 -99.2273 0.332176 4.73985 1 0 0.330267 -49.103 0.927039 157.493 0.743176 126.286 0.669523 177.65
0.559909 0.472001 -100.987 0.339514 5.31358 1 0 0.330051 -49.2668 0.935872 156.454 0.754463 124.932 0.662692 177.281
0.567886 0.474293 -102.812 0.347457 5.79705 1 0 0.330041 -49.4283 0.944614 155.371 0.76618 123.512 0.655261 176.93
0.575976 0.476648 -104.706 0.355999 6.18214 1 0 0.330255 -49.5894 0.953207 154.241 0.778324 122.022 0.647208 176.604
0.584182 0.479051 -106.672 0.365126 6.46124 1 0 0.330713 -49.7525 0.96158 153.064 0.790883 120.46 0.638517 176.311
0.592504 0.481482 -108.715 0.374818 6.62735 1 0 0.331436 -49.9206 0.969654 151.838 0.80384 118.821 0.629176 176.058
0.600946 0.483917 -110.839 0.385044 6.67409 1 0 0.332445 -50.0971 0.977336 150.563 0.81717 117.101 0.619184 175.855
0.609507 0.486329 -113.047 0.395767 6.59584 1 0 0.333762 -50.286 0.98452 149.237 0.830842 115.296 0.608553 175.716
0.61819 0.488684 -115.343 0.406935 6.38774 1 0 0.33541 -50.4919 0.991089 147.861 0.844811 113.402 0.59731 175.653
0.626997 0.490946 -117.731 0.418485 6.04578 1 0 0.337411 -50.7201 0.996908 146.435 0.859025 111.415 0.585504 175.683
0.63593 0.49307 -120.214 0.430342 5.56691 1 0 0.339786 -50.9764 1.00183 144.962 0.873418 109.333 0.573209 175.823
0.644989 0.49501 -122.795 0.442415 4.94908 1 0 0.342554 -51.2671 1.0057 143.444 0.887913 107.151 0.560536 176.096
0.654178 0.496712 -125.477 0.454596 4.1914 1 0 0.345735 -51.599 1.00835 141.886 0.90242 104.868 0.547629 176.522
0.663498 0.49812 -128.261 0.466762 3.29423 1 0 0.349343 -51.9795 1.00959 140.293 0.916837 102.482 0.534683 177.125
0.67295 0.499177 -131.149 0.478773 2.25932 1 0 0.353391 -52.4157 1.00926 138.673 0.931052 99.9911 0.521941 177.928
0.682537 0.49982 -134.139 0.490474 1.08996 1 0 0.357889 -52.9151 1.00717 137.037 0.944945 97.3956 0.5097 178.951
0.692261 0.499994 -137.233 0.501695 -0.208875 1 -0 0.362843 -53.4849 1.00316 135.398 0.958392 94.6963 0.498312 -179.79
0.702123 0.499642 -140.427 0.512253 -1.63043 1 -0 0.368254 -54.1319 0.997089 133.772 0.971268 91.8952 0.488172 -178.289
0.712126 0.49872 -143.718 0.521959 -3.16601 1 -0 0.374126 -54.8621 0.988854 132.18 0.98346 88.9955 0.479705 -176.555
0.722271 0.49719 -147.102 0.530616 -4.80494 1 -0 0.380458 -55.6811 0.978398 130.646 0.994864 86.0012 0.47334 -174.612
0.732561 0.495034 -150.574 0.538033 -6.53451 1 -0 0.387253 -56.5932 0.965729 129.198 1.00541 82.9176 0.469472 -172.506
0.742997 0.492249 -154.128 0.544022 -8.33994 1 -0 0.394517 -57.6022 0.950942 127.87 1.01504 79.7505 0.468425 -170.302
0.753582 0.488858 -157.757 0.548409 -10.2044 1 -0 0.402267 -58.7108 0.934234 126.702 1.02378 76.5064 0.470408 -168.081
0.764318 0.484906 -161.455 0.551039 -12.1092 1 -0 0.410532 -59.9217 0.91593 125.74 1.03166 73.1915 0.475487 -165.93
0.775207 0.480469 -165.217 0.551778 -14.0335 1 -0 0.419359 -61.237 0.896507 125.033 1.03882 69.8114 0.48357 -163.937
0.786251 0.47565 -169.038 0.550516 -15.9544 1 -0 0.42882 -62.6597 0.876627 124.637 1.04544 66.3703 0.494416 -162.178
0.797452 0.470581 -172.916 0.547169 -17.8464 1 -0 0.43902 -64.194 0.857176 124.61 1.05178 62.8702 0.507655 -160.712
0.808813 0.465425 -176.852 0.541676 -19.6809 1 -0 0.4501 -65.8466 0.839311 125.012 1.05821 59.3097 0.522826 -159.579
0.820335 0.460373 179.147 0.533998 -21.4248 1 -0 0.462254 -67.6275 0.824526 125.891 1.06517 55.683 0.539407 -158.8
0.832022 0.455649 175.07 0.524111 -23.0386 1 -0 0.475733 -69.552 0.81472 127.281 1.07321 51.9779 0.556843 -158.386
0.843875 0.451507 170.897 0.512013 -24.4719 1 -0 0.490867 -71.6427 0.812276 129.178 1.083 48.1743 0.574565 -158.337
0.855898 0.448236 166.596 0.497722 -25.6583 1 -0 0.508076 -73.9321 0.820129 131.521 1.09534 44.2411 0.591981 -158.65
0.868091 0.446166 162.122 0.481303 -26.5047 1 -0 0.527903 -76.4669 0.84182 134.174 1.1112 40.1323 0.608456 -159.328
0.880458 0.445673 157.409 0.462927 -26.8757 1 -0 0.551037 -79.3135 0.881537 136.912 1.13175 35.7815 0.623257 -160.381
0.893002 0.44718 152.359 0.443015 -26.5686 1 -0 0.578344 -82.567 0.944167 139.425 1.15835 31.093 0.635451 -161.831
0.905724 0.451146 146.837 0.42255 -25.2806 1 -0 0.610882 -86.3644 1.03543 141.342 1.1926 25.9288 0.643728 -163.721
0.918627 0.458003 140.641 0.403766 -22.588 1 -0 0.649849 -90.9044 1.16207 142.248 1.23614 20.0886 0.646096 -166.111
0.931714 0.467972 133.48 0.391459 -18.029 1 -0 0.696319 -96.4762 1.33185 141.697 1.29019 13.2816 0.639346 -169.076
0.944988 0.480565 124.939 0.394829 -11.551 1 -0 0.750414 -103.494 1.55227 139.184 1.35405 5.09158 0.618243 -172.653
0.95845 0.493395 114.46 0.427585 -4.49883 1 -0 0.809099 -112.513 1.82543 134.124 1.42154 -5.03893 0.574712 -176.654
0.972105 0.499999 101.437 0.500816 0.0188843 1 -0 0.861621 -124.136 2.13367 125.931 1.47385 -17.7158 0.499184 179.981
0.985954 0.488192 85.6163 0.607763 -0.778417 1 -0 0.884601 -138.616 2.41592 114.393 1.47313 -33.1927 0.39238 -178.794
1 0.445625 67.8446 0.715144 -6.86762 1 -0 0.849571 -155.103 2.56864 100.415 1.37737 -50.6235 0.302333 -163.57
1.01425 0.374821 50.2466 0.783533 -15.6692 1 -0 0.752285 -171.469 2.5263 86.1808 1.18743 -67.8832 0.324184 -139.249
1.0287 0.2951 34.8785 0.802325 -24.3748 1 -0 0.623897 174.343 2.33461 73.8027 0.958829 -82.9156 0.426739 -129.11
1.04335 0.223951 22.4759 0.787876 -31.6212 1 -0 0.499042 163.071 2.08816 64.0677 0.746815 -94.9852 0.528152 -128.544
1.05821 0.167502 12.732 0.758796 -37.2718 1 -0 0.393649 154.412 1.8495 56.7134 0.573704 -104.399 0.606725 -130.766
1.07329 0.124826 5.03454 0.725884 -41.6387 1 -0 0.309573 147.755 1.64147 51.1663 0.439451 -111.769 0.664778 -133.489
1.08858 0.0929944 -1.16554 0.6938 -45.0682 1 -0 0.243539 142.554 1.46669 46.91 0.336788 -117.644 0.708057 -136.077
1.10409 0.0692183 -6.27581 0.664137 -47.8286 1 -0 0.191548 138.402 1.32101 43.5649 0.258098 -122.432 0.741175 -138.386
1.11982 0.0513357 -10.582 0.637203 -50.1082 1 -0 0.150221 135.016 1.19904 40.8687 0.197262 -126.419 0.767269 -140.417
