f 1m 1f 2m 2f jV0002m jV0002f jV0001m jV0001f 
1000 0 0 1 180 5.44543e-11 -90 0.00022 180
1291.55 0 0 1 180 7.03304e-11 -90 0.00022 180
1668.1 0 0 1 180 9.08352e-11 -90 0.00022 180
2154.43 0 0 1 180 1.17318e-10 -90 0.00022 180
2782.56 0 0 1 180 1.51522e-10 -90 0.00022 180
3593.81 0 0 1 180 1.95699e-10 -90 0.00022 180
4641.59 0 0 1 180 2.52754e-10 -90 0.00022 180
5994.84 0 0 1 180 3.26445e-10 -90 0.00022 180
7742.64 0 0 1 180 4.2162e-10 -90 0.00022 180
10000 0 0 1 180 5.44543e-10 -90 0.00022 180
12915.5 0 0 1 180 7.03304e-10 -90 0.00022 180
16681 0 0 1 180 9.08352e-10 -90 0.00022 180
21544.3 0 0 1 180 1.17318e-09 -90 0.00022 180
27825.6 0 0 1 180 1.51522e-09 -90 0.00022 180
35938.1 0 0 1 180 1.95699e-09 -90 0.00022 180
46415.9 0 0 1 180 2.52754e-09 -90 0.00022 180
59948.4 0 0 1 180 3.26445e-09 -90 0.00022 180
77426.4 0 0 1 180 4.2162e-09 -90 0.00022 180
100000 0 0 1 180 5.44543e-09 -90 0.00022 180
129155 0 0 1 180 7.03304e-09 -90 0.00022 180
166810 0 0 1 180 9.08352e-09 -90 0.00022 180
215443 0 0 1 180 1.17318e-08 -90 0.00022 180
278256 0 0 1 180 1.51522e-08 -90 0.00022 180
359381 0 0 1 180 1.95699e-08 -90 0.00022 179.999
464159 0 0 1 180 2.52754e-08 -90 0.00022 179.999
599484 0 0 1 180 3.26445e-08 -90 0.00022 179.999
774264 0 0 1 180 4.2162e-08 -90 0.00022 179.999
1e+06 0 0 1 180 5.44543e-08 -90 0.00022 179.998
1.29155e+06 0 0 1 180 7.03304e-08 -90 0.00022 179.998
1.6681e+06 0 0 1 180 9.08352e-08 -90 0.00022 179.997
2.15443e+06 0 0 1 180 1.17318e-07 -90 0.00022 179.996
2.78256e+06 0 0 1 180 1.51522e-07 -90 0.00022 179.995
3.59381e+06 0 0 1 180 1.95699e-07 -90 0.00022 179.994
4.64159e+06 0 0 1 180 2.52754e-07 -90 0.00022 179.992
5.99484e+06 0 0 1 180 3.26445e-07 -90 0.00022 179.99
7.74264e+06 0 0 1 180 4.2162e-07 -90 0.00022 179.987
1e+07 0 0 1 180 5.44543e-07 -90 0.00022 179.984
1.29155e+07 0 0 1 180 7.03304e-07 -90 0.00022 179.979
1.6681e+07 0 0 1 180 9.08352e-07 -90 0.00022 179.973
2.15443e+07 0 0 1 180 1.17318e-06 -90 0.00022 179.965
2.78256e+07 0 0 1 180 1.51522e-06 -90 0.00022 179.954
3.59381e+07 0 0 1 180 1.95699e-06 -90 0.00022 179.941
4.64159e+07 0 0 1 180 2.52754e-06 -90 0.00022 179.924
5.99484e+07 0 0 1 180 3.26445e-06 -90 0.00022 179.902
7.74264e+07 0 0 1 180 4.2162e-06 -90 0.000220001 179.873
1e+08 0 0 1 180 5.44543e-06 -90 0.000220001 179.836
1.29155e+08 0 0 1 180 7.03304e-06 -90 0.000220001 179.789
1.6681e+08 0 0 1 180 9.08352e-06 -90 0.000220002 179.727
2.15443e+08 0 0 1 180 1.17318e-05 -90 0.000220004 179.647
2.78256e+08 0 0 1 180 1.51522e-05 -90 0.000220007 179.545
3.59381e+08 0 0 1 180 1.95699e-05 -90 0.000220012 179.412
4.64159e+08 0 0 1 180 2.52754e-05 -90 0.000220019 179.241
5.99484e+08 0 0 1 180 3.26445e-05 -90 0.000220032 179.019
7.74264e+08 0 0 1 180 4.2162e-05 -90 0.000220054 178.733
