f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f jV0200m jV0200f 
0.01 0.996106 -3.57784 1 0 1.00383 -0.0414108 1.00007 0.0133974 0.999986 0.000318467 1 -4.94584e-05 0.0625872 -93.5778
0.0129155 0.993562 -4.60232 1 0 1.00626 -0.0875359 1.00018 0.0277524 0.999963 0.00110353 0.999998 -0.000163017 0.080628 -94.6023
0.016681 0.989416 -5.90501 1 0 1.01012 -0.182845 1.00049 0.0560152 0.999908 0.00373583 0.999992 -0.000504733 0.103701 -95.905
0.0215443 0.982756 -7.54586 1 0 1.01601 -0.374878 1.00127 0.108303 0.999789 0.0121858 0.999968 -0.00139079 0.133033 -97.5459
0.0278256 0.972287 -9.5832 1 -5.25526e-16 1.02458 -0.747351 1.00318 0.194961 0.99958 0.0375164 0.999876 -0.00297649 0.169988 -99.5832
0.0359381 0.956348 -12.0612 1 6.12661e-16 1.03606 -1.43157 1.0075 0.310844 0.999398 0.105901 0.999574 -0.00230206 0.215949 -102.061
0.0464159 0.933109 -14.9934 1 3.92134e-16 1.04962 -2.60099 1.01631 0.395679 0.999929 0.263878 0.998756 0.0194487 0.272132 -104.993
0.0599484 0.90102 -18.3496 1 1.0871e-17 1.06268 -4.43324 1.03194 0.276101 1.00323 0.553907 0.997199 0.129546 0.339384 -108.35
0.0774264 0.85936 -22.0563 1 1.30452e-16 1.07081 -7.04687 1.05518 -0.355765 1.01322 0.923342 0.996116 0.475915 0.418065 -112.056
0.1 0.808594 -26.0155 1 -6.75557e-17 1.06881 -10.4538 1.08316 -1.85266 1.03436 1.1031 1.00092 1.20371 0.508055 -116.016
0.129155 0.750271 -30.1318 1 1.1865e-15 1.05224 -14.5614 1.10888 -4.44061 1.06823 0.611158 1.0222 2.12373 0.608848 -120.132
0.16681 0.68654 -34.3302 1 -3.57191e-16 1.01873 -19.2093 1.1238 -8.1179 1.11096 -1.05529 1.06914 2.39172 0.719561 -124.33
0.215443 0.619708 -38.5502 1 1.77097e-15 0.968541 -24.2109 1.12141 -12.7155 1.15347 -4.21926 1.13795 0.853411 0.83888 -128.55
0.278256 0.55216 -42.7361 1 7.3923e-16 0.904548 -29.4047 1.09896 -18.0451 1.18371 -8.96248 1.20881 -3.13002 0.96536 -132.736
0.359381 0.486276 -46.8688 1 4.19311e-16 0.831041 -34.7241 1.05625 -24.0018 1.18955 -15.1611 1.25593 -9.40563 1.09804 -136.869
0.464159 0.423805 -51.0162 1 1.68937e-15 0.751645 -40.2206 0.993623 -30.5486 1.1617 -22.5449 1.2594 -17.3791 1.23598 -141.016
0.599484 0.365295 -55.3021 1 4.7522e-16 0.668174 -45.9747 0.911505 -37.6073 1.09624 -30.7376 1.21094 -26.3633 1.37595 -145.302
0.774264 0.31051 -59.7804 1 4.9075e-16 0.581711 -51.9488 0.81221 -44.9571 0.996271 -39.2756 1.11429 -35.7007 1.51058 -149.78
1 0.259449 -64.3409 1 -1.22222e-15 0.494521 -57.9264 0.70165 -52.2348 0.871938 -47.6507 0.982982 -44.7912 1.63016 -154.341
1.29155 0.212836 -68.7481 1 1.54524e-15 0.410473 -63.5936 0.588582 -59.0441 0.737523 -55.4035 0.835553 -53.1459 1.72718 -158.748
1.6681 0.171688 -72.7647 1 -1.3946e-15 0.333658 -68.678 0.481659 -65.0849 0.606666 -62.2222 0.689381 -60.4535 1.79946 -162.765
2.15443 0.136642 -76.2426 1 -3.91357e-16 0.266837 -73.0313 0.386808 -70.2152 0.488744 -67.9779 0.556399 -66.5988 1.84968 -166.243
2.78256 0.107693 -79.1398 1 7.54761e-16 0.210935 -76.6308 0.306556 -74.4342 0.388089 -72.6921 0.4423 -71.6198 1.88283 -169.14
3.59381 0.0843179 -81.4894 1 1.77819e-16 0.165453 -79.5361 0.240831 -77.8277 0.305238 -76.4742 0.348109 -75.6419 1.90395 -171.489
4.64159 0.0657351 -83.3617 1 5.24528e-16 0.129132 -81.8442 0.18814 -80.5179 0.238622 -79.4678 0.272246 -78.8224 1.91709 -173.362
5.99484 0.0511104 -84.8371 1 3.49426e-16 0.100471 -83.6598 0.146463 -82.6312 0.185842 -81.8172 0.212079 -81.317 1.92516 -174.837
7.74264 0.0396737 -85.9917 1 4.89585e-16 0.0780203 -85.079 0.113775 -84.2819 0.144401 -83.6511 0.164811 -83.2636 1.93006 -175.992
10 0.0307651 -86.8914 1 -2.17615e-16 0.0605157 -86.1843 0.0882664 -85.5667 0.112043 -85.0781 0.127891 -84.778 1.93303 -176.891
12.9155 0.0238423 -87.5908 1 5.14433e-17 0.0469053 -87.043 0.068423 -86.5647 0.0868622 -86.1863 0.0991536 -85.9539 1.93481 -177.591
16.681 0.0184705 -88.1335 1 2.44598e-17 0.0363404 -87.7093 0.0530154 -87.3389 0.0673061 -87.0458 0.0768326 -86.8659 1.93589 -178.134
21.5443 0.0143058 -88.5543 1 4.52313e-17 0.0281479 -88.2258 0.0410655 -87.939 0.0521368 -87.7121 0.0595173 -87.5727 1.93653 -178.554
27.8256 0.0110787 -88.8804 1 -9.61893e-17 0.0217989 -88.6261 0.0318037 -88.404 0.0403788 -88.2283 0.0460954 -88.1204 1.93692 -178.88
35.9381 0.00857884 -89.1331 1 -7.46898e-17 0.0168805 -88.9361 0.0246283 -88.7641 0.0312691 -88.6281 0.0356962 -88.5445 1.93715 -179.133
46.4159 0.00664276 -89.3287 1 -7.27971e-18 0.013071 -89.1762 0.0190705 -89.043 0.0242129 -88.9377 0.0276411 -88.873 1.93729 -179.329
59.9484 0.00514347 -89.4802 1 3.44573e-18 0.0101209 -89.3621 0.0147665 -89.259 0.0187483 -89.1775 0.0214029 -89.1274 1.93737 -179.48
77.4264 0.0039825 -89.5975 1 2.69107e-17 0.00783649 -89.5061 0.0114335 -89.4263 0.0145166 -89.3631 0.0165721 -89.3244 1.93743 -179.598
100 0.00308356 -89.6884 1 -4.48188e-17 0.00606762 -89.6176 0.00885273 -89.5558 0.01124 -89.5069 0.0128314 -89.4769 1.93746 -179.688
