f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f 
0.01 1 45 0.998032 -3.59527 1 0 0.0627082 176.405 1 90 0.00396348 179.91 0.0042657 158.213 63.6698 -44.1001 63.4185 -44.0965 1 0 0.249508 86.4047 0.0157702 89.9096 1 -135 0.015677 -93.5953 0.249508 -93.5953 0.0157702 -90.0904
0.0102353 1 45 0.997938 -3.67964 1 0 0.0641778 176.32 1 90 0.00415299 179.907 0.00445575 158.664 62.2064 -44.0789 61.9492 -44.0751 1 0 0.249485 86.3204 0.0161443 89.9075 1 -135 0.0160444 -93.6796 0.249485 -93.6796 0.0161443 -90.0925
0.0104762 1 45 0.997841 -3.76598 1 0 0.0656815 176.234 1 90 0.0043516 179.905 0.00465489 159.108 60.7767 -44.0572 60.5134 -44.0531 1 0 0.24946 86.234 0.0165275 89.9053 1 -135 0.0164204 -93.766 0.24946 -93.766 0.0165275 -90.0947
0.0107227 1 45 0.997738 -3.85434 1 0 0.0672202 176.146 1 90 0.00455975 179.903 0.00486355 159.545 59.3798 -44.0351 59.1103 -44.0307 1 0 0.249435 86.1457 0.0169199 89.9031 1 -135 0.016805 -93.8543 0.249435 -93.8543 0.0169199 -90.0969
0.010975 1 45 0.997631 -3.94475 1 0 0.0687945 176.055 1 90 0.0047779 179.901 0.0050822 159.973 58.015 -44.0123 57.7393 -44.0076 1 0 0.249408 86.0552 0.0173218 89.9008 1 -135 0.0171986 -93.9448 0.249408 -93.9448 0.0173218 -90.0992
0.0112332 1 45 0.997518 -4.03727 1 0 0.0704054 175.963 1 90 0.00500654 179.898 0.00531133 160.394 56.6817 -43.9891 56.3994 -43.9841 1 0 0.24938 85.9627 0.0177334 89.8984 1 -135 0.0176013 -94.0373 0.24938 -94.0373 0.0177334 -90.1016
0.0114976 1 45 0.997401 -4.13195 1 0 0.0720536 175.868 1 90 0.00524618 179.896 0.00555144 160.807 55.379 -43.9653 55.0901 -43.9599 1 0 0.24935 85.8681 0.0181551 89.896 1 -135 0.0180134 -94.1319 0.24935 -94.1319 0.0181551 -90.104
0.0117681 1 45 0.997278 -4.22883 1 0 0.07374 175.771 1 90 0.00549736 179.894 0.00580308 161.213 54.1062 -43.941 53.8105 -43.9352 1 0 0.249319 85.7712 0.0185869 89.8935 1 -135 0.018435 -94.2288 0.249319 -94.2288 0.0185869 -90.1065
0.012045 1 45 0.997148 -4.32796 1 0 0.0754654 175.672 1 90 0.00576063 179.891 0.00606679 161.611 52.8628 -43.9161 52.5601 -43.9098 1 0 0.249287 85.672 0.0190293 89.891 1 -135 0.0188663 -94.328 0.249287 -94.328 0.0190293 -90.109
0.0123285 1 45 0.997013 -4.4294 1 0 0.0772307 175.571 1 90 0.00603658 179.888 0.00634318 162.001 51.6479 -43.8906 51.3381 -43.8839 1 0 0.249253 85.5706 0.0194824 89.8884 1 -135 0.0193077 -94.4294 0.249253 -94.4294 0.0194824 -90.1116
0.0126186 1 45 0.996872 -4.5332 1 0 0.0790368 175.467 1 90 0.00632583 179.886 0.00663286 162.385 50.4609 -43.8645 50.1439 -43.8573 1 0 0.249218 85.4668 0.0199465 89.8857 1 -135 0.0197592 -94.5332 0.249218 -94.5332 0.0199465 -90.1143
0.0129155 1 45 0.996723 -4.63941 1 0 0.0808846 175.361 1 90 0.00662904 179.883 0.00693648 162.761 49.3013 -43.8378 48.9768 -43.8301 1 0 0.249181 85.3606 0.0204221 89.883 1 -135 0.0202211 -94.6394 0.249181 -94.6394 0.0204221 -90.117
0.0132194 1 45 0.996568 -4.74809 1 0 0.082775 175.252 1 90 0.00694688 179.88 0.00725473 163.129 48.1683 -43.8104 47.8362 -43.8022 1 0 0.249142 85.2519 0.0209092 89.8802 1 -135 0.0206937 -94.7481 0.249142 -94.7481 0.0209092 -90.1198
0.0135305 1 45 0.996406 -4.85929 1 0 0.0847089 175.141 1 90 0.00728006 179.877 0.00758831 163.49 47.0614 -43.7824 46.7214 -43.7736 1 0 0.249101 85.1407 0.0214083 89.8773 1 -135 0.0211772 -94.8593 0.249101 -94.8593 0.0214083 -90.1227
0.0138489 1 45 0.996236 -4.97306 1 0 0.0866874 175.027 1 90 0.00762935 179.874 0.007938 163.845 45.98 -43.7538 45.632 -43.7443 1 0 0.249059 85.0269 0.0219197 89.8744 1 -135 0.0216719 -94.9731 0.249059 -94.9731 0.0219197 -90.1256
0.0141747 1 45 0.996057 -5.08948 1 0 0.0887114 174.911 1 90 0.00799554 179.871 0.00830456 164.192 44.9234 -43.7245 44.5672 -43.7143 1 0 0.249014 84.9105 0.0224436 89.8714 1 -135 0.0221778 -95.0895 0.249014 -95.0895 0.0224436 -90.1286
0.0145083 1 45 0.995871 -5.20859 1 0 0.0907819 174.791 1 90 0.00837944 179.868 0.00868884 164.532 43.8911 -43.6945 43.5266 -43.6835 1 0 0.248968 84.7914 0.0229805 89.8683 1 -135 0.0226955 -95.2086 0.248968 -95.2086 0.0229805 -90.1317
0.0148497 1 45 0.995675 -5.33045 1 0 0.0928998 174.67 1 90 0.00878193 179.865 0.00909171 164.865 42.8826 -43.6638 42.5095 -43.652 1 0 0.248919 84.6695 0.0235306 89.8652 1 -135 0.023225 -95.3305 0.248919 -95.3305 0.0235306 -90.1348
0.0151991 1 45 0.995471 -5.45514 1 0 0.0950663 174.545 1 90 0.00920394 179.862 0.00951409 165.192 41.8973 -43.6323 41.5154 -43.6198 1 0 0.248868 84.5449 0.0240944 89.8619 1 -135 0.0237666 -95.4551 0.248868 -95.4551 0.0240944 -90.1381
0.0155568 1 45 0.995257 -5.5827 1 0 0.0972824 174.417 1 90 0.00964642 179.859 0.00995693 165.512 40.9346 -43.6002 40.5437 -43.5867 1 0 0.248814 84.4173 0.0246722 89.8586 1 -135 0.0243206 -95.5827 0.248814 -95.5827 0.0246722 -90.1414
0.0159228 1 45 0.995033 -5.71321 1 0 0.0995491 174.287 1 90 0.0101104 179.855 0.0104213 165.825 39.9941 -43.5672 39.594 -43.5528 1 0 0.248758 84.2868 0.0252643 89.8552 1 -135 0.0248873 -95.7132 0.248758 -95.7132 0.0252643 -90.1448
0.0162975 1 45 0.994798 -5.84672 1 0 0.101868 174.153 1 90 0.0105969 179.852 0.0109081 166.132 39.0752 -43.5335 38.6657 -43.518 1 0 0.248699 84.1533 0.0258713 89.8518 1 -135 0.0254669 -95.8467 0.248699 -95.8467 0.0258713 -90.1482
0.016681 1 45 0.994552 -5.98332 1 0 0.104239 174.017 1 90 0.0111071 179.848 0.0114187 166.432 38.1775 -43.4991 37.7584 -43.4824 1 0 0.248638 84.0167 0.0264934 89.8482 1 -135 0.0260597 -95.9833 0.248638 -95.9833 0.0264934 -90.1518
