f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f jL1m jL1f jL2m jL2f jV0500m jV0500f jV0600m jV0600f jV0700m jV0700f jV0200m jV0200f 
1 0.000204591 -90.0004 0 0 2.27323e-05 89.9997 0.445697 2.31907e-06 0 0 1 0 0 0 0.00361796 180 2.04591e-09 89.9996 1.12016e-12 90 9.67807e-11 -90 7.57975e-11 90 1.11424e-05 180
1.02353 0.000209405 -90.0004 0 0 2.32672e-05 89.9997 0.445697 2.37364e-06 0 0 1 0 0 0 0.00361796 180 2.09405e-09 89.9996 1.14652e-12 90 9.9058e-11 -90 7.75811e-11 90 1.11424e-05 180
1.04762 0.000214333 -90.0004 0 0 2.38147e-05 89.9997 0.445697 2.4295e-06 0 0 1 0 0 0 0.00361796 180 2.14333e-09 89.9996 1.1735e-12 90 1.01389e-10 -90 7.94066e-11 90 1.11424e-05 180
1.07227 0.000219376 -90.0004 0 0 2.43751e-05 89.9997 0.445697 2.48667e-06 0 0 1 0 0 0 0.00361796 180 2.19376e-09 89.9996 1.20111e-12 90 1.03775e-10 -90 8.12751e-11 90 1.11424e-05 180
1.0975 0.000224538 -90.0004 0 0 2.49487e-05 89.9997 0.445697 2.54518e-06 0 0 1 0 0 0 0.00361796 180 2.24538e-09 89.9996 1.22937e-12 90 1.06217e-10 -90 8.31876e-11 90 1.11424e-05 180
1.12332 0.000229822 -90.0004 0 0 2.55358e-05 89.9997 0.445697 2.60507e-06 0 0 1 0 0 0 0.00361796 180 2.29822e-09 89.9996 1.2583e-12 90 1.08716e-10 -90 8.51451e-11 90.0001 1.11424e-05 180
1.14976 0.00023523 -90.0004 0 0 2.61367e-05 89.9997 0.445697 2.66637e-06 0 0 1 0 0 0 0.00361796 180 2.3523e-09 89.9996 1.28791e-12 90 1.11274e-10 -90 8.71487e-11 90.0001 1.11424e-05 180
1.17681 0.000240765 -90.0004 0 0 2.67517e-05 89.9997 0.445697 2.72911e-06 0 0 1 0 0 0 0.00361796 180 2.40765e-09 89.9996 1.31822e-12 90 1.13893e-10 -90 8.91994e-11 90.0001 1.11424e-05 180
1.2045 0.000246431 -90.0004 0 0 2.73812e-05 89.9996 0.445697 2.79333e-06 0 0 1 0 0 0 0.00361796 180 2.46431e-09 89.9996 1.34924e-12 90 1.16573e-10 -90 9.12983e-11 90.0001 1.11424e-05 180
1.23285 0.000252229 -90.0004 0 0 2.80255e-05 89.9996 0.445697 2.85906e-06 0 0 1 0 0 0 0.00361796 180 2.52229e-09 89.9996 1.38099e-12 90 1.19316e-10 -90 9.34467e-11 90.0001 1.11424e-05 180
1.26186 0.000258165 -90.0005 0 0 2.86849e-05 89.9996 0.445697 2.92634e-06 0 0 1 0 0 0 0.00361796 180 2.58165e-09 89.9995 1.41348e-12 90 1.22123e-10 -90 9.56456e-11 90.0001 1.11424e-05 180
1.29155 0.000264239 -90.0005 0 0 2.93599e-05 89.9996 0.445697 2.9952e-06 0 0 1 0 0 0 0.00361796 180 2.64239e-09 89.9995 1.44674e-12 90 1.24997e-10 -90 9.78962e-11 90.0001 1.11424e-05 180
1.32194 0.000270457 -90.0005 0 0 3.00508e-05 89.9996 0.445697 3.06568e-06 0 0 1 0 0 0 0.00361796 180 2.70457e-09 89.9995 1.48079e-12 90 1.27938e-10 -90 1.002e-10 90.0001 1.11424e-05 180
1.35305 0.000276821 -90.0005 0 0 3.07579e-05 89.9996 0.445697 3.13782e-06 0 0 1 0 0 0 0.00361796 180 2.76821e-09 89.9995 1.51563e-12 90 1.30949e-10 -90 1.02558e-10 90.0001 1.11424e-05 180
1.38489 0.000283335 -90.0005 0 0 3.14817e-05 89.9996 0.445697 3.21165e-06 0 0 1 0 0 0 0.00361796 180 2.83335e-09 89.9995 1.55129e-12 90 1.3403e-10 -90 1.04971e-10 90.0001 1.11424e-05 180
1.41747 0.000290002 -90.0005 0 0 3.22225e-05 89.9996 0.445697 3.28723e-06 0 0 1 0 0 0 0.00361796 180 2.90002e-09 89.9995 1.5878e-12 90 1.37184e-10 -90 1.07441e-10 90.0001 1.11424e-05 180
1.45083 0.000296826 -90.0005 0 0 3.29807e-05 89.9996 0.445697 3.36458e-06 0 0 1 0 0 0 0.00361796 180 2.96826e-09 89.9995 1.62516e-12 90 1.40412e-10 -90 1.09969e-10 90.0001 1.11424e-05 180
1.48497 0.000303811 -90.0005 0 0 3.37568e-05 89.9996 0.445697 3.44375e-06 0 0 1 0 0 0 0.00361796 180 3.03811e-09 89.9995 1.6634e-12 90 1.43716e-10 -90 1.12557e-10 90.0001 1.11424e-05 180
1.51991 0.00031096 -90.0006 0 0 3.45511e-05 89.9996 0.445697 3.52478e-06 0 0 1 0 0 0 0.00361796 180 3.1096e-09 89.9994 1.70254e-12 90 1.47098e-10 -90 1.15205e-10 90.0001 1.11424e-05 180
1.55568 0.000318277 -90.0006 0 0 3.53641e-05 89.9995 0.445697 3.60773e-06 0 0 1 0 0 0 0.00361796 180 3.18277e-09 89.9994 1.74261e-12 90 1.50559e-10 -90 1.17916e-10 90.0001 1.11424e-05 180
1.59228 0.000325767 -90.0006 0 0 3.61963e-05 89.9995 0.445697 3.69262e-06 0 0 1 0 0 0 0.00361796 180 3.25767e-09 89.9994 1.78361e-12 90 1.54102e-10 -90 1.20691e-10 90.0001 1.11424e-05 180
1.62975 0.000333432 -90.0006 0 0 3.7048e-05 89.9995 0.445697 3.77951e-06 0 0 1 0 0 0 0.00361796 180 3.33432e-09 89.9994 1.82558e-12 90 1.57728e-10 -90 1.23531e-10 90.0001 1.11424e-05 180
1.6681 0.000341278 -90.0006 0 0 3.79198e-05 89.9995 0.445697 3.86845e-06 0 0 1 0 0 0 0.00361796 180 3.41278e-09 89.9994 1.86854e-12 90 1.6144e-10 -90 1.26438e-10 90.0001 1.11424e-05 180
1.70735 0.000349309 -90.0006 0 0 3.88121e-05 89.9995 0.445697 3.95947e-06 0 0 1 0 0 0 0.00361796 180 3.49309e-09 89.9994 1.91251e-12 90 1.65239e-10 -90 1.29413e-10 90.0001 1.11424e-05 180
1.74753 0.000357529 -90.0006 0 0 3.97254e-05 89.9995 0.445697 4.05264e-06 0 0 1 0 0 0 0.00361796 180 3.57529e-09 89.9994 1.95751e-12 90 1.69127e-10 -90 1.32458e-10 90.0001 1.11424e-05 180
1.78865 0.000365942 -90.0006 0 0 4.06602e-05 89.9995 0.445697 4.14801e-06 0 0 1 0 0 0 0.00361796 180 3.65942e-09 89.9994 2.00357e-12 90 1.73107e-10 -90 1.35575e-10 90.0001 1.11424e-05 180
1.83074 0.000374553 -90.0007 0 0 4.16169e-05 89.9995 0.445697 4.24561e-06 0 0 1 0 0 0 0.00361796 180 3.74553e-09 89.9993 2.05072e-12 90 1.7718e-10 -90 1.38765e-10 90.0001 1.11424e-05 180
1.87382 0.000383366 -90.0007 0 0 4.25962e-05 89.9994 0.445697 4.34552e-06 0 0 1 0 0 0 0.00361796 180 3.83366e-09 89.9993 2.09897e-12 90 1.81349e-10 -90 1.42031e-10 90.0001 1.11424e-05 180
1.91791 0.000392387 -90.0007 0 0 4.35986e-05 89.9994 0.445697 4.44777e-06 0 0 1 0 0 0 0.00361796 180 3.92387e-09 89.9993 2.14837e-12 90 1.85617e-10 -90 1.45373e-10 90.0001 1.11424e-05 180
1.96304 0.00040162 -90.0007 0 0 4.46245e-05 89.9994 0.445697 4.55243e-06 0 0 1 0 0 0 0.00361796 180 4.0162e-09 89.9993 2.19892e-12 90 1.89984e-10 -90 1.48794e-10 90.0001 1.11424e-05 180
2.00923 0.000411071 -90.0007 0 0 4.56745e-05 89.9994 0.445697 4.65956e-06 0 0 1 0 0 0 0.00361796 180 4.11071e-09 89.9993 2.25066e-12 90 1.94455e-10 -90 1.52295e-10 90.0001 1.11424e-05 180
2.05651 0.000420744 -90.0007 0 0 4.67493e-05 89.9994 0.445697 4.7692e-06 0 0 1 0 0 0 0.00361796 180 4.20744e-09 89.9993 2.30362e-12 90 1.99031e-10 -90 1.55878e-10 90.0001 1.11424e-05 180
2.1049 0.000430644 -90.0008 0 0 4.78494e-05 89.9994 0.445697 4.88143e-06 0 0 1 0 0 0 0.00361796 180 4.30644e-09 89.9992 2.35783e-12 90 2.03714e-10 -90 1.59546e-10 90.0001 1.11424e-05 180
2.15443 0.000440778 -90.0008 0 0 4.89753e-05 89.9994 0.445697 4.99629e-06 0 0 1 0 0 0 0.00361796 180 4.40778e-09 89.9992 2.41331e-12 90 2.08508e-10 -90 1.63301e-10 90.0001 1.11424e-05 180
2.20513 0.00045115 -90.0008 0 0 5.01278e-05 89.9994 0.445697 5.11386e-06 0 0 1 0 0 0 0.00361796 180 4.5115e-09 89.9992 2.4701e-12 90 2.13414e-10 -90 1.67143e-10 90.0001 1.11424e-05 180
2.25702 0.000461766 -90.0008 0 0 5.13073e-05 89.9993 0.445697 5.23419e-06 0 0 1 0 0 0 0.00361796 180 4.61766e-09 89.9992 2.52822e-12 90 2.18436e-10 -90 1.71076e-10 90.0001 1.11424e-05 180
2.31013 0.000472632 -90.0008 0 0 5.25146e-05 89.9993 0.445697 5.35736e-06 0 0 1 0 0 0 0.00361796 180 4.72632e-09 89.9992 2.58771e-12 90 2.23576e-10 -90 1.75102e-10 90.0001 1.11424e-05 180
2.36449 0.000483753 -90.0009 0 0 5.37504e-05 89.9993 0.445697 5.48342e-06 0 0 1 0 0 0 0.00361796 180 4.83753e-09 89.9991 2.64861e-12 90 2.28837e-10 -90 1.79222e-10 90.0001 1.11424e-05 180
2.42013 0.000495136 -90.0009 0 0 5.50152e-05 89.9993 0.445697 5.61245e-06 0 0 1 0 0 0 0.00361796 180 4.95136e-09 89.9991 2.71093e-12 90 2.34222e-10 -90 1.8344e-10 90.0001 1.11424e-05 180
2.47708 0.000506787 -90.0009 0 0 5.63097e-05 89.9993 0.445697 5.74452e-06 0 0 1 0 0 0 0.00361796 180 5.06787e-09 89.9991 2.77472e-12 90 2.39733e-10 -90 1.87756e-10 90.0001 1.11424e-05 180
2.53536 0.000518713 -90.0009 0 0 5.76347e-05 89.9993 0.445697 5.87969e-06 0 0 1 0 0 0 0.00361796 180 5.18713e-09 89.9991 2.84001e-12 90 2.45374e-10 -90 1.92174e-10 90.0001 1.11424e-05 180
2.59502 0.000530918 -90.0009 0 0 5.89909e-05 89.9992 0.445697 6.01805e-06 0 0 1 0 0 0 0.00361796 180 5.30918e-09 89.9991 2.90684e-12 90 2.51148e-10 -90 1.96696e-10 90.0001 1.11424e-05 180
2.65609 0.000543412 -90.001 0 0 6.03791e-05 89.9992 0.445697 6.15966e-06 0 0 1 0 0 0 0.00361796 180 5.43412e-09 89.999 2.97524e-12 90 2.57058e-10 -90 2.01325e-10 90.0001 1.11424e-05 180
2.71859 0.000556199 -90.001 0 0 6.17998e-05 89.9992 0.445697 6.3046e-06 0 0 1 0 0 0 0.00361796 180 5.56199e-09 89.999 3.04525e-12 90 2.63107e-10 -90 2.06062e-10 90.0001 1.11424e-05 180
2.78256 0.000569287 -90.001 0 0 6.32541e-05 89.9992 0.445697 6.45296e-06 0 0 1 0 0 0 0.00361796 180 5.69287e-09 89.999 3.11691e-12 90 2.69298e-10 -90 2.10911e-10 90.0001 1.11424e-05 180
