f 1m 1f 2m 2f 3m 3f jV0100m jV0100f jV0300m jV0300f 
0.1 1 0 1 0 1 -0 1 3.14159 0 0 
0.125893 1 0 1 0 1 -0 1 3.14159 0 0 
0.158489 1 0 1 0 1 -0 1 3.14159 0 0 
0.199526 1 0 1 0 1 -0 1 3.14159 0 0 
0.251189 1 0 1 0 1 -0 1 3.14159 0 0 
0.316228 1 0 1 0 1 -0 1 3.14159 0 0 
0.398107 1 0 1 0 1 -0 1 3.14159 0 0 
0.501187 1 0 1 0 1 -0 1 3.14159 0 0 
0.630957 1 0 1 0 1 -0 1 3.14159 0 0 
0.794328 1 0 1 0 1 -0 1 3.14159 0 0 
1 1 0 1 0 1 -0 1 3.14159 0 0 
1.25893 1 0 1 0 1 -0 1 3.14159 0 0 
1.58489 1 0 1 0 1 -0 1 3.14159 0 0 
1.99526 1 0 1 0 1 -0 1 3.14159 0 0 
2.51189 1 0 1 0 1 -0 1 3.14159 0 0 
3.16228 1 0 1 0 1 -0 1 3.14159 0 0 
3.98107 1 0 1 0 1 -0 1 3.14159 0 0 
5.01187 1 0 1 0 1 -0 1 3.14159 0 0 
6.30957 1 0 1 0 1 -0 1 3.14159 0 0 
7.94328 1 0 1 0 1 -0 1 3.14159 0 0 
10 1 0 1 0 1 -0 1 3.14159 0 0 
12.5893 1 0 1 0 1 -0 1 3.14159 0 0 
15.8489 1 0 1 0 1 -0 1 3.14159 0 0 
19.9526 1 0 1 0 1 -0 1 3.14159 0 0 
25.1189 1 0 1 0 1 -0 1 3.14159 0 0 
31.6228 1 0 1 0 1 -0 1 3.14159 0 0 
39.8107 1 0 1 0 1 -0 1 3.14159 0 0 
50.1187 1 0 1 0 1 -0 1 3.14159 0 0 
63.0957 1 0 1 0 1 -0 1 3.14159 0 0 
79.4328 1 0 1 0 1 -0 1 3.14159 0 0 
100 1 0 1 0 1 -0 1 3.14159 0 0 
