f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
0.1 0.659364 180 0.108241 180 1 0 1.04261 90 0.0680097 90 1.04261 -90
0.100231 0.664489 180 0.109407 180 1 0 1.04824 90 0.0689008 90 1.04824 -90
0.100462 0.669672 180 0.11059 180 1 0 1.05393 90 0.0698069 90 1.05393 -90
0.100694 0.674911 180 0.111792 180 1 0 1.05968 90 0.0707283 90 1.05968 -90
0.100926 0.680209 180 0.113012 180 1 0 1.06548 90 0.0716653 90 1.06548 -90
0.101159 0.685566 180 0.114251 180 1 0 1.07135 90 0.0726183 90 1.07135 -90
0.101393 0.690983 180 0.11551 180 1 0 1.07727 90 0.0735877 90 1.07727 -90
0.101627 0.696462 180 0.116788 180 1 0 1.08326 90 0.0745737 90 1.08326 -90
0.101861 0.702003 180 0.118087 180 1 0 1.0893 90 0.0755768 90 1.0893 -90
0.102096 0.707607 180 0.119406 180 1 0 1.09541 90 0.0765973 90 1.09541 -90
0.102332 0.713275 180 0.120746 180 1 0 1.10158 90 0.0776356 90 1.10158 -90
0.102568 0.719008 180 0.122107 180 1 0 1.10782 90 0.0786922 90 1.10782 -90
0.102804 0.724808 180 0.12349 180 1 0 1.11412 90 0.0797673 90 1.11412 -90
0.103042 0.730675 180 0.124896 180 1 0 1.12049 90 0.0808615 90 1.12049 -90
0.103279 0.73661 180 0.126325 180 1 0 1.12693 90 0.0819752 90 1.12693 -90
0.103518 0.742616 180 0.127777 180 1 0 1.13343 90 0.0831087 90 1.13343 -90
0.103757 0.748692 180 0.129253 180 1 0 1.14001 90 0.0842627 90 1.14001 -90
0.103996 0.754841 180 0.130753 180 1 0 1.14666 90 0.0854375 90 1.14666 -90
0.104236 0.761063 180 0.132278 180 1 0 1.15338 90 0.0866336 90 1.15338 -90
0.104477 0.767359 180 0.133829 180 1 0 1.16018 90 0.0878515 90 1.16018 -90
0.104718 0.773732 180 0.135406 180 1 0 1.16705 90 0.0890917 90 1.16705 -90
0.104959 0.780182 180 0.137009 180 1 0 1.17399 90 0.0903548 90 1.17399 -90
0.105202 0.78671 180 0.13864 180 1 0 1.18102 90 0.0916413 90 1.18102 -90
0.105444 0.793319 180 0.140299 180 1 0 1.18812 90 0.0929517 90 1.18812 -90
0.105688 0.800009 180 0.141986 180 1 0 1.1953 90 0.0942866 90 1.1953 -90
0.105931 0.806781 180 0.143703 180 1 0 1.20257 90 0.0956467 90 1.20257 -90
0.106176 0.813639 180 0.145449 180 1 0 1.20992 90 0.0970324 90 1.20992 -90
0.106421 0.820582 180 0.147226 180 1 0 1.21735 90 0.0984446 90 1.21735 -90
0.106666 0.827613 180 0.149034 180 1 0 1.22488 90 0.0998836 90 1.22488 -90
0.106913 0.834732 180 0.150875 180 1 0 1.23248 90 0.10135 90 1.23248 -90
0.107159 0.841943 180 0.152748 180 1 0 1.24018 90 0.102845 90 1.24018 -90
0.107407 0.849246 180 0.154655 180 1 0 1.24797 90 0.10437 90 1.24797 -90
0.107654 0.856643 180 0.156596 180 1 0 1.25586 90 0.105923 90 1.25586 -90
0.107903 0.864136 180 0.158572 180 1 0 1.26384 90 0.107508 90 1.26384 -90
0.108152 0.871727 180 0.160585 180 1 0 1.27191 90 0.109123 90 1.27191 -90
0.108401 0.879417 180 0.162634 180 1 0 1.28008 90 0.110771 90 1.28008 -90
0.108652 0.887209 180 0.164722 180 1 0 1.28836 90 0.112452 90 1.28836 -90
0.108902 0.895105 180 0.166848 180 1 0 1.29673 90 0.114166 90 1.29673 -90
0.109154 0.903106 180 0.169014 180 1 0 1.30521 90 0.115915 90 1.30521 -90
0.109405 0.911215 180 0.171221 180 1 0 1.3138 90 0.1177 90 1.3138 -90
0.109658 0.919433 180 0.17347 180 1 0 1.32249 90 0.119521 90 1.32249 -90
0.109911 0.927763 180 0.175762 180 1 0 1.3313 90 0.121379 90 1.3313 -90
0.110165 0.936208 180 0.178097 180 1 0 1.34021 90 0.123276 90 1.34021 -90
0.110419 0.944769 180 0.180478 180 1 0 1.34925 90 0.125213 90 1.34925 -90
0.110674 0.953449 180 0.182906 180 1 0 1.35839 90 0.12719 90 1.35839 -90
0.110929 0.96225 180 0.185381 180 1 0 1.36766 90 0.129208 90 1.36766 -90
0.111185 0.971174 180 0.187905 180 1 0 1.37705 90 0.131269 90 1.37705 -90
0.111442 0.980226 180 0.190479 180 1 0 1.38657 90 0.133375 90 1.38657 -90
0.111699 0.989406 180 0.193104 180 1 0 1.39621 90 0.135525 90 1.39621 -90
0.111956 0.998717 180 0.195782 180 1 0 1.40598 90 0.137722 90 1.40598 -90
0.112215 1.00816 180 0.198515 180 1 0 1.41589 90 0.139966 90 1.41589 -90
0.112474 1.01775 180 0.201303 180 1 0 1.42593 90 0.14226 90 1.42593 -90
0.112733 1.02747 180 0.204149 -180 1 0 1.43611 90 0.144604 90 1.43611 -90
0.112993 1.03734 180 0.207054 -180 1 0 1.44643 90 0.147 90 1.44643 -90
0.113254 1.04735 180 0.210019 -180 1 0 1.45689 90 0.149449 90 1.45689 -90
0.113515 1.05752 180 0.213047 -180 1 0 1.4675 90 0.151953 90 1.4675 -90
0.113777 1.06783 180 0.216138 -180 1 0 1.47826 90 0.154514 90 1.47826 -90
0.11404 1.07831 180 0.219296 -180 1 0 1.48918 90 0.157133 90 1.48918 -90
0.114303 1.08894 180 0.222521 -180 1 0 1.50025 90 0.159812 90 1.50025 -90
0.114567 1.09973 180 0.225816 -180 1 0 1.51148 90 0.162552 90 1.51148 -90
0.114831 1.1107 180 0.229183 -180 1 0 1.52288 90 0.165357 90 1.52288 -90
0.115096 1.12183 180 0.232623 -180 1 0 1.53445 90 0.168226 90 1.53445 -90
0.115362 1.13314 180 0.23614 -180 1 0 1.54619 90 0.171164 90 1.54619 -90
0.115628 1.14463 180 0.239735 -180 1 0 1.5581 90 0.174171 90 1.5581 -90
0.115895 1.15631 180 0.243411 -180 1 0 1.5702 90 0.177249 90 1.5702 -90
0.116162 1.16817 180 0.24717 -180 1 0 1.58248 90 0.180402 90 1.58248 -90
0.11643 1.18022 180 0.251015 -180 1 0 1.59495 90 0.183631 90 1.59495 -90
0.116699 1.19248 180 0.254948 -180 1 0 1.60761 90 0.186938 90 1.60761 -90
0.116968 1.20493 180 0.258972 -180 1 0 1.62048 90 0.190327 90 1.62048 -90
0.117238 1.21759 180 0.26309 -180 1 0 1.63354 90 0.1938 90 1.63354 -90
