f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f 19m 19f 20m 20f 21m 21f 22m 22f 23m 23f 24m 24f jV0013m jV0013f jV0014m jV0014f jV0015m jV0015f jV0016m jV0016f jV0017m jV0017f jV0018m jV0018f jV0020m jV0020f jV0019m jV0019f jV0022m jV0022f jV0021m jV0021f jV0024m jV0024f jV0023m jV0023f jV0100m jV0100f jV0200m jV0200f jV0300m jV0300f jV0400m jV0400f jV0500m jV0500f jV0600m jV0600f jV0800m jV0800f jV0700m jV0700f jV1000m jV1000f jV0900m jV0900f jV1200m jV1200f jV1100m jV1100f 
1000 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 5.44543e-11 -90 0.00022 180 7.53982e-11 -90 0.0001005 180 7.53982e-11 -90 6.28319e-12 90 5.44543e-11 -90 0.00022 180 7.53982e-11 -90 0.0001005 180 7.53982e-11 -90 6.28319e-12 90 2.17817e-11 -90 0.00022 180 3.01593e-11 -90 0.0001005 180 3.01593e-11 -90 2.51327e-12 90 2.17817e-11 -90 0.00022 180 3.01593e-11 -90 0.0001005 180 3.01593e-11 -90 2.51327e-12 90
1291.55 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-11 -90 0.00022 180 9.73806e-11 -90 0.0001005 180 9.73806e-11 -90 8.11505e-12 90 7.03304e-11 -90 0.00022 180 9.73806e-11 -90 0.0001005 180 9.73806e-11 -90 8.11505e-12 90 2.81322e-11 -90 0.00022 180 3.89522e-11 -90 0.0001005 180 3.89522e-11 -90 3.24602e-12 90 2.81322e-11 -90 0.00022 180 3.89522e-11 -90 0.0001005 180 3.89522e-11 -90 3.24602e-12 90
1668.1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 9.08352e-11 -90 0.00022 180 1.25772e-10 -90 0.0001005 180 1.25772e-10 -90 1.0481e-11 90 9.08352e-11 -90 0.00022 180 1.25772e-10 -90 0.0001005 180 1.25772e-10 -90 1.0481e-11 90 3.63341e-11 -90 0.00022 180 5.03087e-11 -90 0.0001005 180 5.03087e-11 -90 4.19239e-12 90 3.63341e-11 -90 0.00022 180 5.03087e-11 -90 0.0001005 180 5.03087e-11 -90 4.19239e-12 90
2154.43 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.17318e-10 -90 0.00022 180 1.62441e-10 -90 0.0001005 180 1.62441e-10 -90 1.35367e-11 90 1.17318e-10 -90 0.00022 180 1.62441e-10 -90 0.0001005 180 1.62441e-10 -90 1.35367e-11 90 4.69273e-11 -90 0.00022 180 6.49762e-11 -90 0.0001005 180 6.49762e-11 -90 5.41468e-12 90 4.69273e-11 -90 0.00022 180 6.49762e-11 -90 0.0001005 180 6.49762e-11 -90 5.41468e-12 90
2782.56 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.51522e-10 -90 0.00022 180 2.098e-10 -90 0.0001005 180 2.098e-10 -90 1.74833e-11 90 1.51522e-10 -90 0.00022 180 2.098e-10 -90 0.0001005 180 2.098e-10 -90 1.74833e-11 90 6.06089e-11 -90 0.00022 180 8.392e-11 -90 0.0001005 180 8.392e-11 -90 6.99333e-12 90 6.06089e-11 -90 0.00022 180 8.392e-11 -90 0.0001005 180 8.392e-11 -90 6.99333e-12 90
3593.81 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.95699e-10 -90 0.00022 180 2.70967e-10 -90 0.0001005 180 2.70967e-10 -90 2.25806e-11 90 1.95699e-10 -90 0.00022 180 2.70967e-10 -90 0.0001005 180 2.70967e-10 -90 2.25806e-11 90 7.82794e-11 -90 0.00022 180 1.08387e-10 -90 0.0001005 180 1.08387e-10 -90 9.03224e-12 90 7.82794e-11 -90 0.00022 180 1.08387e-10 -90 0.0001005 180 1.08387e-10 -90 9.03224e-12 90
4641.59 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 2.52754e-10 -90 0.00022 180 3.49968e-10 -90 0.0001005 180 3.49968e-10 -90 2.9164e-11 90 2.52754e-10 -90 0.00022 180 3.49968e-10 -90 0.0001005 180 3.49968e-10 -90 2.9164e-11 90 1.01102e-10 -90 0.00022 180 1.39987e-10 -90 0.0001005 180 1.39987e-10 -90 1.16656e-11 90 1.01102e-10 -90 0.00022 180 1.39987e-10 -90 0.0001005 180 1.39987e-10 -90 1.16656e-11 90
5994.84 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 3.26445e-10 -90 0.00022 180 4.52e-10 -90 0.0001005 180 4.52e-10 -90 3.76667e-11 90 3.26445e-10 -90 0.00022 180 4.52e-10 -90 0.0001005 180 4.52e-10 -90 3.76667e-11 90 1.30578e-10 -90 0.00022 180 1.808e-10 -90 0.0001005 180 1.808e-10 -90 1.50667e-11 90 1.30578e-10 -90 0.00022 180 1.808e-10 -90 0.0001005 180 1.808e-10 -90 1.50667e-11 90
7742.64 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 4.2162e-10 -90 0.00022 180 5.83781e-10 -90 0.0001005 180 5.83781e-10 -90 4.86484e-11 90 4.2162e-10 -90 0.00022 180 5.83781e-10 -90 0.0001005 180 5.83781e-10 -90 4.86484e-11 90 1.68648e-10 -90 0.00022 180 2.33512e-10 -90 0.0001005 180 2.33512e-10 -90 1.94594e-11 90 1.68648e-10 -90 0.00022 180 2.33512e-10 -90 0.0001005 180 2.33512e-10 -90 1.94594e-11 90
10000 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 5.44543e-10 -90 0.00022 180 7.53982e-10 -90 0.0001005 180 7.53982e-10 -90 6.28319e-11 90 5.44543e-10 -90 0.00022 180 7.53982e-10 -90 0.0001005 180 7.53982e-10 -90 6.28319e-11 90 2.17817e-10 -90 0.00022 180 3.01593e-10 -90 0.0001005 180 3.01593e-10 -90 2.51327e-11 90 2.17817e-10 -90 0.00022 180 3.01593e-10 -90 0.0001005 180 3.01593e-10 -90 2.51327e-11 90
