f 1m 1f 2m 2f jV0200m jV0200f 
0.1 0.00999968 1.5698 10 -0 0.00999968 -1.5718 
0.102329 0.0102326 1.56977 10 -0 0.0102326 -1.57182 
0.104713 0.010471 1.56975 10 -0 0.010471 -1.57184 
0.107152 0.0107149 1.56972 10 -0 0.0107149 -1.57187 
0.109648 0.0109644 1.5697 10 -0 0.0109644 -1.57189 
0.112202 0.0112198 1.56967 10 -0 0.0112198 -1.57192 
0.114815 0.0114812 1.56965 10 -0 0.0114812 -1.57194 
0.11749 0.0117486 1.56962 10 -0 0.0117486 -1.57197 
0.120226 0.0120223 1.56959 10 -0 0.0120223 -1.572 
0.123027 0.0123023 1.56957 10 -0 0.0123023 -1.57203 
0.125893 0.0125889 1.56954 10 -0 0.0125889 -1.57206 
0.128825 0.0128821 1.56951 10 -0 0.0128821 -1.57208 
0.131826 0.0131821 1.56948 10 -0 0.0131821 -1.57211 
0.134896 0.0134892 1.56945 10 -0 0.0134892 -1.57215 
0.138038 0.0138034 1.56942 10 -0 0.0138034 -1.57218 
0.141254 0.0141249 1.56938 10 -0 0.0141249 -1.57221 
0.144544 0.0144539 1.56935 10 -0 0.0144539 -1.57224 
0.147911 0.0147906 1.56932 10 -0 0.0147906 -1.57228 
0.151356 0.0151351 1.56928 10 -0 0.0151351 -1.57231 
0.154882 0.0154877 1.56925 10 -0 0.0154877 -1.57235 
0.158489 0.0158484 1.56921 10 -0 0.0158484 -1.57238 
0.162181 0.0162176 1.56917 10 -0 0.0162176 -1.57242 
0.165959 0.0165953 1.56914 10 -0 0.0165953 -1.57246 
0.169824 0.0169819 1.5691 10 -0 0.0169819 -1.57249 
0.17378 0.0173774 1.56906 10 -0 0.0173774 -1.57253 
0.177828 0.0177822 1.56902 10 -0 0.0177822 -1.57257 
0.18197 0.0181964 1.56898 10 -0 0.0181964 -1.57262 
0.186209 0.0186203 1.56893 10 -0 0.0186203 -1.57266 
0.190546 0.019054 1.56889 10 -0 0.019054 -1.5727 
0.194984 0.0194978 1.56885 10 -0 0.0194978 -1.57275 
0.199526 0.019952 1.5688 10 -0 0.019952 -1.57279 
0.204174 0.0204167 1.56875 10 -0 0.0204167 -1.57284 
0.20893 0.0208923 1.56871 10 -0 0.0208923 -1.57289 
0.213796 0.0213789 1.56866 10 -0 0.0213789 -1.57293 
0.218776 0.0218769 1.56861 10 -0 0.0218769 -1.57298 
0.223872 0.0223865 1.56856 10 -0 0.0223865 -1.57303 
0.229087 0.0229079 1.56851 10 -0 0.0229079 -1.57309 
0.234423 0.0234415 1.56845 10 -0 0.0234415 -1.57314 
0.239883 0.0239875 1.5684 10 -0 0.0239875 -1.5732 
0.245471 0.0245463 1.56834 10 -0 0.0245463 -1.57325 
0.251189 0.025118 1.56828 10 -0 0.025118 -1.57331 
0.25704 0.0257031 1.56823 10 -0 0.0257031 -1.57337 
0.263027 0.0263018 1.56817 10 -0 0.0263018 -1.57343 
0.269153 0.0269144 1.5681 10 -0 0.0269144 -1.57349 
0.275423 0.0275413 1.56804 10 -0 0.0275413 -1.57355 
0.281838 0.0281828 1.56798 10 -0 0.0281828 -1.57361 
0.288403 0.0288393 1.56791 10 -0 0.0288393 -1.57368 
0.295121 0.029511 1.56785 10 -0 0.029511 -1.57375 
